,T_ext,T_int,Ts_ext,Ts_int,q_ext,q_int
360,303.149993896,294.149993896,302.90335083,294.656433105,0.0,0.0
370,303.149993896,294.149993896,302.903320312,294.656402588,0.0,0.0
380,303.149993896,294.149993896,302.903289795,294.656392415,0.0,0.0
390,303.149993896,294.149993896,302.903259277,294.65637207,0.0,0.0
400,303.149993896,294.149993896,302.90322876,294.656341553,0.0,0.0
410,303.149993896,294.149993896,302.903203328,294.656341553,0.0,0.0
420,303.149993896,294.149993896,302.903198242,294.656311035,0.0,0.0
430,303.149993896,294.149993896,302.903193156,294.656311035,0.0,0.0
440,303.149993896,294.149993896,302.903167725,294.656311035,0.0,0.0
450,303.149993896,294.149993896,302.903167725,294.656311035,0.0,0.0
460,303.149993896,294.149993896,302.903167725,294.656311035,0.0,0.0
470,303.149993896,294.149993896,302.903167725,294.656311035,0.0,0.0
480,303.149993896,294.149993896,302.903167725,294.656311035,0.0,0.0
490,303.149993896,294.149993896,302.903167725,294.656311035,0.0,0.0
500,303.149993896,294.149993896,302.903167725,294.656311035,0.0,0.0
510,303.149993896,294.149993896,302.903167725,294.656311035,0.0,0.0
520,303.149993896,294.149993896,302.903167725,294.656280518,0.0,0.0
530,303.149993896,294.149993896,302.903167725,294.656280518,0.0,0.0
540,303.149993896,294.149993896,302.903167725,294.656280518,0.0,0.0
550,303.149993896,294.149993896,302.903167725,294.656280518,0.0,0.0
560,303.149993896,294.149993896,302.903137207,294.656280518,0.0,0.0
570,303.149993896,294.149993896,302.903137207,294.656280518,0.0,0.0
580,303.149993896,294.149993896,302.903137207,294.656280518,0.0,0.0
590,303.149993896,294.149993896,302.903137207,294.656280518,0.0,0.0
600,303.149993896,299.149993642,302.903137207,295.141357409,0.0,0.0
610,303.149993896,299.149993896,302.911102335,297.657945575,0.0,0.0
620,303.149993896,299.149993896,302.935139974,298.390350341,0.0,0.0
630,303.149993896,299.149993896,302.962402344,298.812652587,0.0,0.0
640,303.149993896,299.149993896,302.986175537,299.049804686,0.0,0.0
650,303.149993896,299.149993896,303.004297861,299.179890743,0.0,0.0
660,303.149993896,299.149993896,303.016723633,299.256286621,0.0,0.0
670,303.149993896,299.149993896,303.024851494,299.303288852,0.0,0.0
680,303.149993896,299.149993896,303.030192057,299.332336426,0.0,0.0
690,303.149993896,299.149993896,303.034088135,299.352020264,0.0,0.0
700,303.149993896,299.149993896,303.036783854,299.364227295,0.0,0.0
710,303.149993896,299.149993896,303.038604733,299.371922799,0.0,0.0
720,303.149993896,299.149993896,303.039550781,299.375030518,0.0,0.0
730,303.149993896,299.149993896,303.040181479,299.376810712,0.0,0.0
740,303.149993896,299.149993896,303.040435791,299.376993815,0.0,0.0
750,303.149993896,299.149993896,303.04057312,299.376968384,0.0,0.0
760,303.149993896,299.149993896,303.040568034,299.376515706,0.0,0.0
770,303.149993896,299.149993896,303.040527344,299.376230876,0.0,0.0
780,303.149993896,299.149993896,303.040466309,299.375976563,0.0,0.0
790,303.149993896,299.149993896,303.040430704,299.375722249,0.0,0.0
800,303.149993896,299.149993896,303.040374756,299.375478109,0.0,0.0
810,303.149993896,299.149993896,303.040374756,299.375427246,0.0,0.0
820,303.149993896,299.149993896,303.040374756,299.375376383,0.0,0.0
830,303.149993896,299.149993896,303.040344238,299.375335693,0.0,0.0
840,303.149993896,299.149993896,303.040344238,299.375274658,0.0,0.0
850,303.149993896,299.149993896,303.040344238,299.375239054,0.0,0.0
860,303.149993896,299.149993896,303.040313721,299.375183105,0.0,0.0
870,303.149993896,299.149993896,303.040313721,299.375137329,0.0,0.0
880,303.149993896,299.149993896,303.040313721,299.375091553,0.0,0.0
890,303.149993896,299.149993896,303.040313721,299.375091553,0.0,0.0
900,303.149993896,299.149993896,303.040313721,299.375091553,0.0,0.0
910,303.149993896,299.149993896,303.040313721,299.375091553,0.0,0.0
920,303.149993896,299.149993896,303.040313721,299.375091553,0.0,0.0
930,303.149993896,299.149993896,303.040313721,299.375061035,0.0,0.0
940,303.149993896,299.149993896,303.040293376,299.375061035,0.0,0.0
950,303.149993896,299.149993896,303.040283203,299.375061035,0.0,0.0
960,303.149993896,299.149993896,303.040283203,299.375061035,0.0,0.0
970,303.149993896,299.149993896,303.040283203,299.375061035,0.0,0.0
980,303.149993896,299.149993896,303.040283203,299.375061035,0.0,0.0
990,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1000,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1010,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1020,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1030,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1040,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1050,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1060,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1070,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1080,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1090,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1100,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1110,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1120,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1130,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1140,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1150,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1160,303.149993896,299.149993896,303.040283203,299.375030518,0.0,0.0
1170,303.149993896,299.149993896,303.040283203,299.375,0.0,0.0
1180,303.149993896,299.149993896,303.040283203,299.375,0.0,0.0
1190,303.149993896,299.149993896,303.040283203,299.375,0.0,0.0
1200,303.149993896,299.149993896,303.040283203,299.375,0.0,0.0
