time,Ts_ext,Ts_int
0.0,285.315,293.15
172.973,285.5136758619074,294.2748150206716
180.0,285.5217470364932,294.32051044799414
180.0,285.5217470364932,294.32051044799414
180.0,285.5217470364932,294.32051044799414
180.0,285.5217470364932,294.32051044799414
345.946,285.71235172381483,295.3996300413432
518.919,285.91422551516206,296.42354699245533
691.892,286.12054459679547,297.30721031479266
864.865,286.3268636784288,298.19087363713
1037.84,286.53318514562625,299.0745471768229
1210.81,286.7395006489136,299.95819517312685
1383.78,286.94581615220096,300.84184316943083
1556.76,287.1521435833084,301.7255422525127
1729.73,287.3584590865957,302.6091902488167
1902.7,287.56676222032223,303.4304732968248
2075.68,287.78068840189496,304.0757499495811
2248.65,287.9946022163628,304.7209892987964
2421.62,288.2085160308306,305.3662286480116
2594.59,288.4224298452984,306.0114679972269
2767.57,288.63635602687117,306.6567446499831
2940.54,288.8513008618713,307.2647043527701
3113.51,289.06816042495944,307.8034313061692
3286.49,289.2850325254566,308.3421894052556
3459.46,289.50301285854374,308.8018800461313
3632.43,289.7213309660915,309.23775094892693
3805.41,289.93966169537174,309.6736470509422
3978.38,290.1579798029195,310.10951795373774
4151.35,290.3762979104672,310.54538885653335
4324.32,290.59461601801496,310.9812597593289
4497.3,290.8129467472952,311.41715586134416
4670.27,291.03126485484296,311.85302676413977
4843.24,291.2489421507199,312.2261046863055
5016.22,291.4662250418828,312.559323384628
5189.19,291.68349537188885,312.8925228195271
5362.16,291.9007657018949,313.2257222544261
5535.14,292.11804859305784,313.55894095274857
5708.11,292.3353189230638,313.8921403876476
5881.08,292.55075799598455,314.19223248264063
6054.05,292.7654122660464,314.47813610829337
6227.03,292.9794432830717,314.48908381199595
6400.0,293.18872966884317,312.4529702416644
6572.97,293.3980160546146,310.41685667133277
6745.95,293.60731453996317,308.3806253861622
6918.92,293.81660092573463,306.34451181583063
7091.89,294.02588731150604,304.30839824549906
7200.0,294.15669583995464,303.03578312097716
7200.0,294.15669583995464,303.03578312097716
7200.0,294.15669583995464,303.03578312097716
7200.0,294.15669583995464,303.03578312097716
7264.86,294.2351736972775,302.2722846751675
7437.84,294.44447218262604,300.23605338999687
7610.81,294.6537585683975,298.1999398196653
7783.78,294.85300290752036,297.9662485898707
7956.76,295.051857666301,297.80453618946876
8129.73,295.2507009292579,297.64283313768516
8302.7,295.44954419221483,297.48113008590155
8475.68,295.64839895099544,297.3194176854996
8648.65,295.84684125303573,297.15973150495967
8821.62,296.03766668827564,297.0383588831192
8994.59,296.22849212351554,296.91698626127874
9167.57,296.4135748767449,296.81230836477914
9340.54,296.5921171405687,296.72659103502957
9513.51,296.77065940439246,296.64087370528
9686.49,296.9492119903683,296.55515141991214
9859.46,297.1277542541921,296.46943409016257
10032.4,297.30626555155976,296.3837316272679
10205.4,297.48483878183964,296.2979994306634
10378.4,297.6634120121195,296.2122672340589
10551.4,297.8360980993455,296.13718497821185
10724.3,297.99569981328807,296.0856354003221
10897.3,298.1553938359143,296.0340560077545
11070.3,298.3150878585405,295.9824766151869
11243.2,298.4746895724831,295.9309270372971
11416.2,298.6343835951093,295.87934764472953
11589.2,298.78902729733716,295.8336445587171
11762.2,298.9360955189676,295.7967559325373
11935.1,299.0830787300652,295.75988862926283
12108.1,299.2155345498989,295.73399453019334
12281.1,299.34474412712945,295.7105429387145
12454.1,299.47395370436004,295.6870913472357
12627.0,299.60308859397367,295.66365331159017
12800.0,299.7322981712042,295.64020172011135
12973.0,299.86150774843475,295.61675012863253
13145.9,299.9906426380484,295.59331209298693
13318.9,300.11985221527897,295.5698605015081
13491.9,300.2326019445986,295.55493663402507
13664.9,300.3369305303557,295.544375697987
13837.8,300.4411988105719,295.5338208665362
14010.8,300.545527396329,295.52325993049806
14183.8,300.6498559820861,295.51269899446
14356.8,300.7541845678432,295.5021380584219
14529.7,300.8465870931497,295.4957753156749
14702.7,300.9350885732832,295.4908059860036
14875.7,301.02001377341463,295.4866800628545
15048.6,301.0872540037216,295.4867156554341
15221.6,301.1545331236934,295.48675126859945
15394.6,301.2218122436651,295.4867868817648
15567.6,301.2890913636369,295.4868224949301
15740.5,301.3563315939439,295.48685808750975
15913.5,301.42361071391565,295.48689370067507
16086.5,301.49088983388737,295.4869293138404
16259.5,301.55783277240647,295.48702343018164
16432.4,301.5966767754689,295.49200060852223
16605.4,301.63554324469857,295.49698066550843
16778.4,301.6744097139282,295.50196072249463
16951.4,301.71327618315786,295.5069407794809
17124.3,301.7521201862203,295.5119179578214
17297.3,301.78919696679253,295.5171350331706
17470.3,301.81016654944835,295.5244852737863
17643.2,301.8311240109581,295.531831265708
17816.2,301.8406496232566,295.5401159376924
17989.2,301.8395362208731,295.5492693142209
18162.2,301.8384228184896,295.55842269074935
18335.1,301.8373100596913,295.56757077630874
18508.1,301.8361966573078,295.57672415283724
18681.1,301.8350832549243,295.5858775293657
18854.1,301.8339698525408,295.5950309058942
19027.0,301.8328570937425,295.6041789914536
19200.0,301.821182061571,295.6140342492814
19373.0,301.79085601437936,295.6251289747785
19545.9,301.76054749669476,295.63621728713946
19718.9,301.7302214495031,295.6473120126365
19891.9,301.6998954023115,295.65840673813364
20064.9,301.66956935511985,295.6695014636307
20237.8,301.63144628726303,295.68084611287657
20410.8,301.58374341256757,295.6925108419867
20583.8,301.53604053787217,295.7041755710968
20756.8,301.46953901892743,295.7166823517498
20929.7,301.4002316402706,295.7293093083608
21102.7,301.3308841763745,295.74194356801206
21275.7,301.2615367124784,295.75457782766335
21448.6,301.19222933382156,295.7672047842743
